input,output,field,paper_name
我完全理解并遵守吉林大学关于学位论文保管的有关政策规定。我同意吉林大学保存我的学位论文纸质版和电子版的副本，并授权将上述副本提交给国家相关管理部门或机构，允许他们查阅和借阅。此外，我授权吉林大学将我的学位论文的全部或部分内容编入各类数据库以供检索，并使用包括但不限于复印、缩印、数字化等手段保存我的论文及其汇编副本。  我的这一授权自论文提交之日起长期有效。,本人完全了解吉林大学有关保留、使用学位论文的规定，同意吉林大学保留或向国家有关部门或机构送交论文的复印件和电子版，允许论文被查阅和借阅;本人授权吉林大学可以将本学位论文的全部或部分内容编入有关数据库进行检索，可以采用影印、缩印或其他复制手段保存论文和汇编本学位论文。,医学,Pressure Injury Prevention in Critical Care
本声明郑重声明，提交的学位论文乃本人在指导教师的指导下独立完成的研究成果。论文内容除已注明引用部分外，未包含任何个人或集体已发表或撰写的其他作品成果。对本文研究做出重要贡献的个人和集体，已在文中明确标注。本人完全了解并承担本声明的全部法律责任。,本人郑重声明:所呈交学位论文，是本人在指导教师的指导下，独立进行研究工作所取得的成果。除文中已经注明引用的内容外，本论文不包含任何其他个人或集体已经发表或撰写过的作品成果。对本文的研究做出重要贡献的个人和集体，均已在文中以明确方式标明。本人完全意识到本声明的法律结果由本人承担。,医学,Pressure Injury Prevention in Critical Care
"Objective: To describe and analyze the current situation of Multidrug-Resistant Pseudomonas Infection (MDRPI) prevention and management in critically ill patients, and to understand the knowledge and attitudes of nursing staff regarding MDRPI. This study aims to systematically review and evaluate the relevant evidence on MDRPI prevention and management, and to develop a comprehensive guideline for the prevention and management of MDRPI in critically ill patients. Additionally, this study will describe the process of introducing this evidence into clinical practice, and evaluate its feasibility and effectiveness. Furthermore, this study will investigate the application of dressing in MDRPI treatment, and explore the therapeutic effect of mesenchymal stem cell-derived exosome thermosensitive hydrogel dressing on MDRPI through the establishment of cell and animal models.","目的:描述并分析重症患者 MDRPI 预防与管理现况，了解护理人员对于 MDRPI 的知识和态度现状;系统回顾、评鉴并综合有关 MDRPI 预防与管理的相关证据;构建 《重症患者 MDRPI 预防与管理方案》;描述该证据被逐步引入临床情境的系统过程, 并评价其可行性和有效性;针对循证实践中凸显出的敷料应用问题，通过构建 MDRPI 细胞模型与动物模型，探索间充质干细胞外泌体温敏水凝胶敷料对 MDRPI 的干预效果。",医学,Pressure Injury Prevention in Critical Care
背景：电子医疗设备和人工智能技术在现代医学领域发挥着日益重要的作用，然而，医疗器械在疾病治疗过程中经常对患者的皮肤和粘膜造成压力性损伤。这一问题已逐渐引起医护人员的广泛关注。2016年，美国国家压疮咨询委员会正式提出“医疗器械相关压力性损伤”（Medical Device-Related Pressure Injury，MDRPI）的概念。截至目前，国内外关于重症患者MDRPI预防与管理措施的研究相对较少，且缺乏全面和深入的探索。然而，在临床实践中，这一问题早已凸显。因此，引入最佳证据，并开展适合我国临床情境的MDRPI循证护理实践势在必行。在MDRPI敷料应用相关证据不足的情况下，如何解决引入证据后产生的问题，也亟待进一步探索和研究。,"背景:随着电子医疗设备与人工智能技术在现代医学领域发挥目益重要的作用, 越来越多的医疗器械在疾病治疗过程中给患者的皮肤和粘膜造成了压力性损伤，并逐渐引起了医护人员的关注。美国国家压疮咨询委员会于 2016年正式提出医疗器械相关压力性损伤(MDRPI)的概念。截止目前，国内外关于重症患者 MDRPI 预防与管理措施的研究相对较少，且缺乏全面、深入的探索，而临床实践中所凸显的问题却由来己久。因此引入最佳证据，开展适合我国临床情境的 MDRPI 循证护理实践势在必行; 如何在 MDRPI 敷料应用相关证据不足的情况下，解决引入证据后产生的问题亦亟待探索。",医学,Pressure Injury Prevention in Critical Care
针对上述实践过程中所暴露出的敷料应用问题，我们采用了创新性的方法来开发新的证据。我们利用普朗尼克 F127 和普朗尼克 F68 配制温敏水凝胶，并将其与间充质干细胞外泌体结合，制备出一种新型的伤口敷料。为了评估该敷料在组织修复方面的作用，我们采用了两种实验模型：一种是过氧化氢诱导的小鼠成肌细胞氧化应激模型，另一种是磁铁周期性夹闭诱导的小鼠 MDRPI 皮肤损伤模型。通过这两种模型，我们探讨了该新型敷料在抑制细胞损伤以及促进组织修复方面的潜在作用。,(5)新证据生成:针对上述实践过程中凸显出的敷料应用问题，利用普朗尼克 F127 和普朗尼克 F68 配制温敏水凝胶，搭载间充质干细胞外泌体制备新型伤口敷料，并利用过氧化氢诱导的小鼠成肌细胞氧化应激模型、磁铁周期性夹闭诱导的小鼠 MDRPI 皮肤损伤模型，探索该敷料在抑制细胞损伤及促进组织修复中的作用。,医学,Pressure Injury Prevention in Critical Care
本研究采用混合方法，结合问卷调查和焦点小组访谈，以探索重症监护室（ICU）护士对压力性损伤和医疗设备相关压力性损伤（MDRPI）的认知和态度。具体而言，研究人员使用经过汉化和文化适应的Pieper-Zulkowski压力性损伤知识问卷（PZ-PUKT）、压疮预防态度问卷（APuP）和护士预防医疗装置压伤认知量表作为研究工具。通过问卷调查法，对ICU护士进行压力性损伤和MDRPI知识及态度的评估。同时，采用焦点小组访谈法，深入了解我国医疗机构重症患者MDRPI预防与管理的现状和挑战。这种综合的研究方法旨在提供更全面、更深入的理解，以便更好地指导临床实践和政策制定。,(1)临床情境与专业判断:采用经汉化和/或文化调试后的中文版 Pieper-Zulkowski 压力性损伤知识问卷(PZ-PUKT)、压疮预防态度问卷(APuP)和护士预防医疗装置压伤认知量表作为研究工具，通过问卷调查法，测评 ICU 护士压力性损伤和 MDRPI 的知识与态度水平;通过焦点小组访谈法，了解我国医疗机构重症患者 MDRPI 的预防与管理现况。,医学,Pressure Injury Prevention in Critical Care
证据传播阶段：在经历了对证据和推荐意见的分级后，编制完成了《重症患者多重药物耐药lund感染预防与管理最佳实践信息册》，该册子涵盖了七个方面的内容，总共包含51项证据。此外，通过召开专家会议，对预防和管理方案进行了简化、修订和完善，形成了《重症患者多重药物耐药感染预防与管理方案》，该方案共包括六个方面、30个条目，旨在为临床实践提供更加系统化和科学化的参考。,(3)证据传播阶段:经证据分级与推荐意见分级，构建了包括7个方面、51项证据的《重症患者 MDRPI 预防与管理最佳实践信息册》;通过专家会议对方案进行简化、 修订与完善，形成了包括 6 个方面、30 个条目的《重症患者 MDRPI 预防与管理方案》。,医学,Pressure Injury Prevention in Critical Care
在证据综合阶段，我们纳入了9篇循证指南、2篇证据总结和8篇系统评价。质量评价结果表明，所纳入的指南在整体质量方面较为出色，尤其是在“范围和目的”的定义以及制定过程的严谨性方面获得了最高的标准化得分，而在“应用性”方面的得分则相对较低。证据总结和系统评价的质量均达到中等以上的水平。纳入的证据主要涵盖了医疗领域中几个关键方面，包括多重药物耐药菌感染（MDRPI）的风险评估、医疗器械的选择和使用、预防性敷料的选择和应用、预防性皮肤护理、支撑面与体位变换、营养支持，以及教育和核查等七个方面，旨在为临床实践提供综合的参考依据。,"(2)证据综合阶段:共纳入9篇循证指南、2篇证据总结和 8 篇系统评价。质量评价结果显示，所纳入指南的总体质量较好，在""范围和目的""及""制定的严谨性""领域标准化得分最高,""应用性""得分最低;证据总结和系统评价的质量均为中等以上。 纳入证据主要包括 MDRPI 的风险评估、医疗器械的选择与使用、预防性敷料的选择与应用、预防性皮肤护理、支撑面与体位变换、营养支持和教育与核查 7个方面的内容。",医学,Pressure Injury Prevention in Critical Care
"In the novel evidence generation phase, a crucial discovery was made by preparing varying concentrations of Pluronic F127 and F68 in physiological saline solutions. Notably, a gel formulation comprising 220 mg/mL Pluronic F127 and 100 mg/mL Pluronic F68 exhibited a phase transition temperature of 36.1°C, which closely approximates the skin temperature of the human body. Furthermore, this specific concentration range demonstrated no cytotoxicity. It was also observed that the exosomes secreted by mesenchymal stem cells (MSCs) at a concentration of 100 μg/mL significantly enhanced the proliferation and migration of C2C12 myoblasts, while mitigating oxidative stress responses induced by hydrogen peroxide to a certain extent. Animal studies yielded compelling results, indicating that the topical application of thermosensitive hydrogel dressings containing MSC-derived exosomes substantially accelerated wound healing. This treatment also upregulated the expression levels of relevant growth factors in the peri-wound tissue of mice, underscoring its potential therapeutic value.","(5)新证据生成阶段:通过配制不同浓度的普朗尼克生理盐水溶液，确定220 mg/mL 普朗尼克 F127 与 100 mg/mL 普朗尼克 F68 所配制凝胶的相变温度为 36.1℃,最接近体表皮肤温度，且该浓度范围内无细胞毒性;100μg/mL 的间充质干细胞(MSC)外泌体可促进小鼠成肌细胞(C2C12)的增殖与迁移，并在一定程度上抑制过氧化氢所诱导的氧化应激反应;动物实验结果表明，外敷间充质干细胞外泌体温敏水凝胶伤口敷料能够明显加速伤口修复，上调小鼠伤口周围组织中相关生长因子的表达水平。",医学,Pressure Injury Prevention in Critical Care
"The field of clinical therapeutics has undergone significant transformations in recent years, with the increasing integration of electronic medical equipment and artificial intelligence technology in the treatment of various diseases. Consequently, the rising use of medical devices in treatment protocols has led to heightened pressure on patients' skin and mucous membranes, thereby garnering the attention of medical professionals. The concept of Medical Device-Related Pressure Injury (MDRPI) was formally defined by the National Pressure Injury Advisory Panel in 2016. Despite its relevance, there is a scarcity of research focused on the prevention and management of MDRPI within Intensive Care Units (ICUs), with a notable lack of comprehensive and in-depth investigations, particularly in light of the longstanding presence of these issues in clinical practice. Therefore, the development of a strategic plan for MDRPI prevention and management in China is imperative. Furthermore, there is a need to explore how new evidence can be generated to address the insufficient evidence base for effective dressings in MDRPI management, following the implementation of MDRPI projects.","There have been marked changes in the field of clinical therapeutics in recent years, with electronic medical equipment and artificial intelligence technology having been frequently utilized to date to treat myriad diseases. As such, an increasingly number of medical devices in the treatment process also caused pressures on the skin and mucous membrane of patients. This problem has gradually attracted the attention of medical staff. The definition of medical device-related pressure injury (MDRPI) was formally proposed by National Pressure Injury Advisory Panel in 2016. However, there are few studies on the prevention and management of MDRPI in Intensive Care Units (ICUs) currently, and there is still a lack of comprehensive and in-depth exploration, even though the problems highlighted in clinical practice have existed for a long time. Therefore, it is crucial to develop a MDRPI prevention and management plan in China, and how new evidence could be generated under the premise of insufficient evidence of effective dressings for MDRPI after the application of the MDRPI project also needs to be explored.",医学,Pressure Injury Prevention in Critical Care
