input,output,field,paper_name
(三) 对于经营贷款，贷前阶段将根据借款人的行业属性、背景信息以及交易行为，进行多元化的产品组合和期限匹配，以缓冲外部因素对银行风险资产的影响。同时，鼓励向中小微企业发放随借随还贷款，以降低借款人的融资成本。贷后阶段，将定期收集并审查贷款用途相关材料，确保其与本次贷款金额及期限一致；定期重新评估抵押品价值并检查法院对抵押品设置的限制信息，确保抵押品的流通性；此外，还将定期进行实地回访，以了解企业的经营状况。对于有到期续贷需求的优质客户，将提供无还本续贷服务，从而降低借款人的再融资成本。,"(三)针对经营贷款:贷前针对不同行业，不同背景和交易行为借款人, 进行多元产品组合，期限匹配，缓冲外部因素对银行风险资产的影响。鼓励向中小微企业发放随借随还贷款，降低借款人融资成本。贷后收集贷款用途材料, 确保与本次贷款金额和期限相匹;定期重估押品价值及排查法院限制信息，保持押品流通性;定期实地回访，了解企业近期经营状况;对于有到期续贷需求的部分优质客户，支持无还本续贷，降低借款人再融资成本。",商业,Loan Default Factors Analysis
"This study categorizes retail credit operations into three distinct classes based on the objective for which they are utilized: ""mortgage loans,"" ""consumer loans,"" and ""business loans."" The analysis encompasses six facets of borrower demographics, including age, gender, industry of employment, loan size, duration of the loan, and the loan's interest rate, to comprehend their impact on defaulters across the three classes of loans. The empirical dataset has been compiled from the retail credit operation data of a Chinese commercial bank, spanning from January 2000 to June 2019. The samples have been balanced before empirical analysis through the application of bootstrap sampling and undersampling techniques. Subsequently, a logistic regression model has been implemented for the empirical analysis.","This article divides the retail credit business into three categories according to different purposes: "" loans for house purchases "", "" consumption loans "" and "" business loans"" . Select six dimensions of borrower's age, gender, industry, loan amount, loan term and loan interest rate in non-financial data to study their impact on three types of loan defaults. The data sample is taken from the retail credit business data of a commercial bank in China from January 2000 to June 2019. After using bootstrap sampling and undersampling to equalize the samples, the logistic regression model is used for empirical analysis.",商业,Loan Default Factors Analysis
"Research findings suggest that male borrowers with substantial housing loans and shorter repayment terms exhibit a higher propensity for default. The considerable monthly payments associated with large, short-term loans pose a significant challenge to borrowers' cash flows, necessitating not only a stable and sufficient income stream but also prudent savings habits and a judicious asset allocation strategy. Conversely, female borrowers tend to exhibit greater risk aversion and a higher degree of financial fulfillment compared to their male counterparts. Their adept cash flow management and stable asset structures contribute to a reduced likelihood of defaults stemming from liquidity issues or overlooked payments, underscoring the importance of responsible financial planning and asset management in mitigating credit risk.","Through research, it is found that male borrowers with large sums of money and short terms in the housing loan group have a relatively high probability of default. The high monthly payment brought by large short-term loans is a test of the borrower's cash flow, which requires not only sufficient and stable sources of repayment, but also good savings habits and a reasonable asset structure. Women tend to be more risk-averse and more fulfilling than men. Their good cash flow management and stable asset structure can relatively reduce defaults caused by liquidity problems or forgotten repayments.",商业,Loan Default Factors Analysis
"Retail credit activities, a vital segment of commercial bank assets, frequently encounter systemic risks during economic downturns, particularly under a singular risk management architecture. Currently, the predominant practice among financial institutions centers on the exclusive use of financial data for the approval process, neglecting the incorporation of non-financial data and information. This oversight becomes particularly pertinent when considering that retail credit borrowers predominantly consist of small and medium-sized enterprises and individuals, who frequently exhibit limited and often unreliable financial data. Hence, this study endeavors to assess the influence of non-financial data on the default incidence of distinct retail loan categories, with the aim of alleviating the limitations imposed by financial data on pre-loan evaluation and post-loan oversight within retail credit activities.","As one of the important asset businesses of commercial banks, retail credit business is prone to systemic risks in a single risk control system during the macroeconomic downturn. At present, the approval of retail credit business of most financial institutions is highly dependent on financial data, and the utilization of non-financial data and information is insufficient. However, retail credit borrowers are usually small, medium and micro enterprises or natural persons, which are characterized by a small amount and poor quality of financial data. Therefore, this paper aims to study the influence of non-financial data on the default of three types of retail loans, in order to make up for the limitations of financial data on pre-loan approval and post-loan management of retail credit.",商业,Loan Default Factors Analysis
(二) 针对消费贷款：在贷款前，应强化对数据来源的分析与整理，并通过持续动态优化客户画像，以提升对具有过度融资倾向及不良消费习惯借款人的识别能力。在贷款后，应定期审查征信报告，包括但不限于设定贷款账户数、近一个月内的征信查询次数、个人担保负债余额、贷记卡近六个月的平均使用额度等关键指标的预警阈值，以便及时识别潜在的以贷养贷及多头借贷风险。,(二)针对消费贷款:贷前加强对数据来源的数据分析和整理应用，通过不断动态优化客户画像以加强对融资过度、不良消费习惯借款人的甄别。贷后定期回检征信，包括但不限于设定贷款账户数、近1个月内征信查询次数、个人弱担保负债余额、贷记卡近 6个月平均使用额度等维度的预警线，及时发现以贷养贷，多头借贷等潜在风险。,商业,Loan Default Factors Analysis
"Among clients utilizing operating loans, those who opt for short-term, high-interest borrowing exhibit a notably elevated probability of default. To mitigate the risk of delinquency, financial institutions implement measures to control and limit the duration of the loan period. Nevertheless, for certain borrowers characterized by extended investment recovery periods, this approach can lead to a misalignment between their investment and financing requirements. Such misalignment indirectly escalates the borrowers' costs associated with loan renewal and augments the risks thereof, thereby diminishing their overall capacity to meet financial obligations.","Among operating loan customers, short-term and high-interest borrowers have a relatively high default probability. Financial institutions reduce the overdue risk by controlling and shortening the loan period. However, for some borrowers with long investment recovery periods, the investment and financing needs are not matched, which indirectly increases the borrower's loan renewal cost and loan renewal risk, and reduces the solvency.",商业,Loan Default Factors Analysis
"(1) Regarding housing loans: Enhance the eligibility criteria for large-value housing loans prior to loan issuance, emphasizing the authenticity and stability of the borrower's repayment sources. Implement measures to control the loan-to-value ratio of large-value housing loans and conduct on-site assessments of the collateral's realizable value. Regularly re-evaluate the collateral's value and verify any court-imposed restrictions post-loan to ensure the liquidity of the collateral.","(1) For housing loans: improve the access conditions for large-value housing loans before taking out loans, including focusing on the authenticity and stability of the borrower's repayment source; controlling the mortgage ratio of large-value housing loans; on-the-spot investigation of the ability to realize collaterals, etc. Regularly re-evaluate the value of collaterals and check the court's restriction information after the loan to maintain the liquidity of the collaterals.",商业,Loan Default Factors Analysis
"Implement comprehensive credit monitoring strategies. Routinely assess credit post-loan issuance, establishing early warning thresholds across various metrics, including the count of loan accounts, the frequency of credit inquiries within the last month, the balance of personal unsecured debt, and the average utilization rate of credit card limits over the past six months. This proactive approach facilitates the timely identification of potential risks, such as the need for loan maintenance or prolonged borrowing patterns.","profiles. Regularly review credit after loan, set early warning lines in dimensions such as the number of loan accounts, the number of credit inquiries in the past month, the balance of personal weakly secured debt, and the average usage limit of the credit card in the past 6 months, so as to detect the number of loan accounts in time. Potential risks such as maintenance loans and long-term borrowing.",商业,Loan Default Factors Analysis
"The magnitude of a consumer loan inherently mirrors, to some extent, the borrower's consumption patterns. Substantial consumer loans are typically allocated towards meeting planned, essential expenditures such as foreign studies and vehicle purchases. Conversely, minor consumer loans might be utilized for impulsive acquisitions. This practice can lead young individuals to develop a habit of over-consumption by leveraging loans to satisfy flexible needs. Short-term consumer loans usually accommodate a repayment scheme where interest is serviced regularly, and the principal is settled upon maturity. Given the negligible repayment burden during the initial phases of this repayment model, borrowers often opt to secure a new short-term consumer loan to settle their previous temporary loan, especially when they lack stable income or face financial strain. Engaging in loan-supported-loan practices can potentially result in the erosion of repayment capacity due to excessive borrowing. Consequently, the borrower's income level and stability are pivotal factors in the context of consumer loans. Notable is the observation that the current income of individuals employed in primary-industry-related sectors marginally trails that of professionals in other industries.","The amount of the consumer loan itself reflects the borrower's consumption habits to a certain extent. Large-amount consumer loans are usually used for planned rigid demand expenditures such as studying abroad and buying cars. Small amounts of consumer loans may be used for impulse purchases. Young people can easily develop the habit of excessive consumption by borrowing to meet flexible needs. Short-term consumer loans generally support the repayment method of paying interest on schedule and repaying the principal at maturity. Because the repayment pressure in the early stage of this repayment method is extremely small, such borrowers usually choose to apply for a new short-term consumer loan to repay the last temporary loan when they have no stable income or cannot make ends meet. Taking a loan to support a loan can easily lead to the loss of repayment ability due to excessive borrowing. Therefore, the level and stability of the borrower's income are also very important for consumer loans. The current income of personnel engaged in the primary industry-related industries is slightly lower than that of other industries.",商业,Loan Default Factors Analysis
"(3) In the context of business loans: For borrowers across diverse industries, backgrounds, and transaction behaviors, the institution employs a multi-product portfolio strategy, ensuring maturity matching and mitigating the impact of external factors on the bank's risky assets prior to lending. The bank actively encourages loan issuance to small, medium, and micro enterprises, aiming to reduce the borrowers' financing costs. After the loan disbursement, the bank collects loan application materials to confirm their alignment with the loan's amount and duration. Periodically, the bank reassesses the collateral's value and verifies court-restricted information to maintain the collateral's liquidity. Regular on-site visits are conducted to monitor the enterprise's recent business operations. For borrowers with temporary loans, eligible individuals can submit relevant materials to apply for loan renewals without requiring principal repayment.","(3) For business loans: For borrowers in different industries, backgrounds and transaction behaviors, multi-product portfolios, maturity matching, and buffering of the impact of external factors on the bank's risky assets are carried out before lending. Encourage the issuance of loans to small. medium and micro enterprises to reduce borrowers' financing costs. Collect loan application materials after the loan to ensure that it matches the amount and duration of the loan; regularly reassess the value of the collateral and check the information restricted by the court to maintain the liquidity of the collateral; make regular on-site visits to understand the recent business status of the enterprise; for temporary loans Borrowers who are eligible can provide relevant materials to apply for loan renewal without principal repayment.",商业,Loan Default Factors Analysis
