input,output,field,paper_name
为解决基坑工程围护结构中腰梁结构存在与否的两种钻孔灌注桩的深层水平位移监测问题，本文改进了在腰梁结构下难以适用的单U型监测技术方法，并提出了多U型监测技术方案。该方案基于倾斜角度测量原理和材料力学应变转换原理，推导出了适用于U型布设的位移计算方法。此外，还设计了一种采用PVC管作为承载介质的室内简支梁模型试验，并将其与传统的测斜管监测方法进行了对比。实验结果及其在实际工程中的应用验证了多U型监测技术的有效性和光纤传感技术的可靠性，成功克服了传统测斜管监测精度不足及腰梁结构下传感器失效的问题。,针对基坑工程围护结构中的有无腰梁结构的两种钻孔灌注桩深层水平位移监测需求，改良了在腰梁结构下难以存活的单 U 型监测技术方法，相对应的提出了多 U 型监测技术方法，基于倾角法原理及材料力学应变转化原理推导了 U 型布设位移算法，设计了以 PVC 管为载体的室内简支梁模型试验，并于实际工程中与传统测斜管进行了监测效果对比，实验与实际工程结果均验证了多 U 型监测技术的正确性以及光纤传感技术的可靠性，解决了传统测斜管的监测精度不足、 腰梁结构下传感器失活的问题。,工程,Fiber Optic Sensing in Rail Transit
基于材料力学原理，提出了对含有格构柱的砼支撑进行受力模型概化求解的方法，有效解决了传感器安装参数和受力计算方法不明确的问题。通过对比实际工程中BOTDA和FBG与传统钢筋计的监测效果，结果表明两者的监测效果均优于传统钢筋计的监测效果，从而进一步验证了所提出模型的正确性和可靠性。,基于材料力学原理，对含有格构柱的砼支撑进行受力模型概化求解，解决了传感器安装参数以及受力计算方法不明确的问题，通过实际工程中与传统钢筋计的监测效果对比，说明了 BOTDA 与 FBG 的监测效果均优于传统钢筋计的监测效果，进一步验证了模型的正确性。,工程,Fiber Optic Sensing in Rail Transit
在现有的Z型布设的二维位移监测技术基础上，经过对盾构隧道管片三维变形模式的深入研究，我们开发了一种基于全分布式光纤传感器的菱型布设三维位移监测技术。同时，相应地推导出三种位移计算方法，以科学地评估管片的三维位移。此外，我们设计了一种以木板为载体的管片三维位移室内模型试验，以验证菱型监测技术的准确性和可靠性。通过这项研究，我们成功解决了传统Z型监测技术与实际管片位移不匹配的问题，进一步提高了隧道工程监测的精度和可靠性。,"在原有 Z 型布设的二维位移监测技术的基础上，结合盾构隧道管片三维变形模式，设计了基于全分布式光纤传感器的菱型布设三维位移监测技术，并推导了相对应的三种位移计算方法，设计了以木板为载体的管片三维位移室内模型试验，验证了菱型监测技术的正确性, 解决了 z 型监测技术与管片实际位移不匹配的问题;",工程,Fiber Optic Sensing in Rail Transit
近年来，随着技术的进步，光纤传感监测技术因其出色的抗干扰能力、高等精度、优异的稳定性、强大的防水和防潮能力、较长的耐久性以及能够实现远距离大范围分布式监测和良好的集成性，而成为轨道交通工程监测领域中一种较为理想的监测手段。然而，当前光纤传感监测技术主要处于室内实验阶段，尚未能充分应用于轨道交通工程的实际监测作业。在实际工程应用中，存在诸如成活率低、布设方法与实际工程匹配度不高等挑战。因此，本研究针对现阶段城市轨道交通工程施工监测的需求以及传统监测技术的不足，结合金义东城际轨道工程的实际案例，以轨道交通工程中的基坑工程围护结构和盾构隧道管片结构为主要研究对象，致力于解决光纤传感监测技术在这些领域的应用问题。主要的研究内容和结论涉及以下几个关键方面：,近年来发展的光纤传感监测技术凭借其抗干扰能力强、精度高、 稳定性好、防水防潮、耐久性长、可实现远距离大范围分布式监测、 可集成性好等优点，成为轨道交通工程监测行业中一种较为理想的监测手段。目前光纤传感监测技术多处于室内实验阶段，未能充分融入轨道交通工程的实际工程监测作业中，在实际工程应用时，存在成活率低、布设方法与实际工程匹配度低等实际问题。为此，本文针对现阶段城市轨道交通工程施工监测的需求和传统监测技术的不足，依托金义东城际轨道工程，以轨道交通工程中基坑工程围护结构以及盾构隧道管片结构为研究对象，解决了光纤传感监测技术在围护结构以及盾构隧道管片结构变形的工程应用问题，主要研究内容及结论包括以下几个方面:,工程,Fiber Optic Sensing in Rail Transit
"The comprehensive integration of various high-level interdisciplinary engineering disciplines, including civil, architectural, geotechnical, and mining engineering, is a characteristic of rail transit projects. Stable, reliable, and efficient monitoring technologies are crucial for ensuring the safe construction of such projects. However, traditional monitoring methods are increasingly unable to meet the evolving safety monitoring requirements of rapidly advancing rail transit projects. Recently, fiber optic sensing monitoring technology has emerged as a promising solution in the rail transit monitoring industry due to its strong anti-interference capabilities, high precision, excellent stability, water and moisture resistance, long durability, the ability to perform long-range and large-scale distributed monitoring, and good integrability. Despite these advantages, fiber optic sensing monitoring technology is predominantly used in laboratory settings and has not been fully integrated into actual engineering monitoring operations for rail transit projects. Practical challenges such as low survival rates and low alignment with actual engineering deployment methods persist. This study addresses the current demands for construction monitoring in urban rail transit projects and the limitations of traditional monitoring technologies by focusing on the Jinhua-Yiwu-Dongyang Intercity Rail Project. Specifically, the research targets the deformation monitoring of retaining structures in foundation pit engineering and segment structures in shield tunnel engineering, resolving key issues related to the application of fiber optic sensing monitoring technology in these areas. The main research findings and conclusions are summarized as follows:","轨道交通工程综合了各类土木、建筑、岩土、矿业工程等高水平复合型工程，稳定、可靠、高效的监测技术是保障轨道交通工程安全施工的重要手段。然而，传统监测技术在长期使用过程中越来越难以适应快速发展的轨道交通工程安全监测要求。近年来发展的光纤传感监测技术凭借其抗干扰能力强、精度高、稳定性好、防水防潮、耐久性长、可实现远距离大范围分布式监测、可集成性好等优点，成为轨道交通工程监测行业中一种较为理想的监测手段。目前光纤传感监测技术多处于室内实验阶段，未能充分融入轨道交通工程的实际工程监测作业中，在实际工程应用时，存在成活率低、布设方法与实际工程匹配度低等实际问题。为此，本文针对现阶段城市轨道交通工程施工监测的需求和传统监测技术的不足，依托金义东城际轨道工程，以轨道交通工程中基坑工程围护结构以及盾构隧道管片结构为研究对象, 解决了光纤传感监测技术在围护结构以及盾构隧道管片结构变形的工程应用问题，主要研究内容及结论包括以下几个方面:",工程,Fiber Optic Sensing in Rail Transit
"Based on the principles of mechanics of materials, this study develops a generalized force model to analyze the concrete support of lattice columns, thereby resolving the ambiguities in sensor installation parameters and stress calculation methods. A comparative analysis with traditional steel bar meter monitoring effects in practical engineering applications demonstrates that the monitoring effects of BOTDA and FBG are superior to those of traditional steel bar meters. This comparison further validates the efficacy of the proposed model, underscoring its potential for enhanced structural monitoring and analysis.","based on the principle of mechanics of materials, concrete support of lattice column contains generalized force model solving, solved the sensor installation parameters and stress calculation method for the ambiguous problem, through the practical engineering compared with traditional steel bar meter monitoring effect, illustrates the BOTDA and FBG monitoring effect is superior to the traditional steel bar meter monitoring effect, further verify the validity of the model;",工程,Fiber Optic Sensing in Rail Transit
"In the context of foundation pit engineering, the presence of two types of bored piles in the lumbar beam structure necessitates a nuanced approach to monitoring deep horizontal displacement. Traditional monitoring methods often fall short, particularly in the case of single U-monitoring technology, which struggles to effectively capture the complexities of the structure. To address this limitation, a novel U-shaped monitoring technology is proposed, grounded in the principles of mechanics of materials and the angle method. By leveraging the strain transformation principle, a displacement monitoring algorithm is deduced, facilitating the creation of a U-shaped layout. To validate this innovative approach, an indoor model test was designed, utilizing a PVC pipe as the carrier for the beam. The results of this experiment were then compared to those obtained from traditional dip pipe monitoring in an actual project. Both the experimental and practical engineering results underscore the efficacy and reliability of the proposed U-monitoring technology, as well as the optical fibre sensing technology. This breakthrough effectively resolves the longstanding issues of insufficient monitoring accuracy and sensor deactivation that have plagued inclinometer tube monitoring under the waist beam structure.","Lumbar beam structure in foundation pit engineering retaining structure in the presence of the two kinds of bored piles of deep horizontal displacement monitoring, improved under the waist beam structure is difficult to live single U monitoring technology, and puts forward some corresponding u-shaped monitoring technology, principle and mechanics of materials based on the Angle method, strain transformation principle of displacement of u-shaped layout algorithm was deduced, and designed the beam with PVC pipe as the carrier of indoor model test, and in the actual project compared with the monitoring results of traditional dip pipe, experiment and practical engineering results show the validity of the more U monitoring technology and the reliability of the optical fibre sensing technology, It solves the problems of the inclinometer tube monitoring accuracy is insufficient and the sensor is deactivated under the waist beam structure.",工程,Fiber Optic Sensing in Rail Transit
"Based on the two-dimensional distribution of the original Z-displacement monitoring technology, a three-dimensional deformation model of the shield tunnel segment was established. By integrating the distributed optical fibre sensor layout with a diamond design, a 3D displacement monitoring technology was developed, and the corresponding calculation method for three-dimensional displacement was deduced. A board was designed as a carrier for the segment's 3D displacement in an indoor model test to verify the validity of the diamond monitoring technology. This approach addressed the issue of the original Z-monitoring technology not matching the actual displacement of the segment, thereby providing a more accurate and reliable monitoring solution.","in the two dimensional distribution of the original Z displacement monitoring technology on the basis of the combination of shield tunnel segment of threedimensional deformation model, diamond design based on the distributed optical fibre sensor layout 3 d displacement monitoring technology, and deduced the corresponding three displacement calculation method, design the board as the carrier of the segment 3 d displacement of indoor model test, verify the validity of the diamond monitoring technology, solved the Z monitoring technology and the segment does not match the actual displacement problem.",工程,Fiber Optic Sensing in Rail Transit
"Rail transit engineering encompasses a multifaceted array of complex, high-level engineering disciplines, including civil engineering, construction engineering, geotechnical engineering, and mining engineering. The implementation of stable, reliable, and efficient monitoring technologies is crucial for ensuring the safe construction of rail transit engineering projects. However, traditional monitoring technologies are increasingly struggling to meet the evolving safety monitoring requirements of rail transit engineering due to their limitations in the long-term use process.  In recent years, optical fibre sensing monitoring technology has emerged as an ideal monitoring method in the rail transit engineering industry, leveraging its robust anti-interference capability, high precision, excellent stability, waterproof and moisture-resistant properties, long-term durability, and capacity for long-distance, large-range distributed monitoring, as well as its good integrability. Currently, optical fibre sensing monitoring technology is predominantly in the laboratory experimentation phase and has not been fully integrated into the actual engineering monitoring operations of rail transit projects.  In practical engineering applications, challenges such as low survival rates and poor compatibility between the layout methods and actual engineering conditions persist. Addressing these issues, this paper focuses on the current demands of urban rail transit project construction monitoring and the shortcomings of traditional monitoring technologies. By taking the Jin Yi East inter-city railway engineering project as a case study, with a specific emphasis on the foundation pit retaining structure and shield tunnel segments in rail transit construction, this research aims to resolve the application issues of fibre optic sensing monitoring technology in the palisade structure and deformation monitoring of shield tunnel segments.  The primary research content and conclusions of this study encompass several key aspects, including the development of innovative methods for enhancing the survival rate of optical fibre sensors, improving the compatibility of layout methods with actual engineering conditions, and advancing the application of optical fibre sensing monitoring technology in rail transit engineering projects. Through this research, the paper seeks to contribute to the advancement of monitoring technologies in the rail transit engineering sector, ultimately enhancing the safety and efficiency of construction projects.","Rail transit engineering is a combination of all kinds of high level complex engineering, such as civil engineering, construction, geotechnical engineering and mining engineering. Stable, reliable and efficient monitoring technology is an important means to ensure the safe construction of rail transit engineering.However, the traditional monitoring technology is more and more difficult to adapt to the rapid development of rail transit engineering safety monitoring requirements in the long-term use process.The optical fibre sensing monitoring technology developed in recent years has become an ideal monitoring method in the rail transit engineering monitoring industry by virtue of its strong anti-interference ability, high accuracy, good stability, waterproof and moistureproof, long durability, long distance and large range distributed monitoring, good integration and other advantages. At present, the optical fibre sensing monitoring technology is mostly in the laboratory experiment stage, and fails to fully integrate into the actual engineering monitoring operation of rail transit engineering. In the actual engineering application, there are practical problems such as low survival rate and low matching degree between the layout method and the actual engineering. To this end, this paper, based on the current demand of urban rail transit project construction monitoring and the shortage of the traditional monitoring technology, relying on Jin Yi east inter-city railway engineering, rail transit construction in foundation pit retaining structure as the research object and shield tunnel segments, solves the fibre optic sensing monitoring technology in the palisade structure and deformation of shield tunnel segments of the engineering application problem, the main research content and conclusions include the following aspects:",工程,Fiber Optic Sensing in Rail Transit
为了优化城市间交通体系、改善城市群空间结构并促进城市群可持续发展，轨道交通工程的重要性日益凸显，其发展前景广阔。随着轨道交通工程在城市发展建设中的地位日渐突出，其建设与发展已成为城市发展中的一个标志性项目。然而，面临的挑战是如何在既有城市建设中确保轨道交通工程建设的安全性。城市发展与交通运输的发展密不可分，城市的安全稳定发展同样依赖于交通运输的安全稳定发展。因此，轨道交通工程建设作为城市发展的必要组成部分，其安全性必须被确保。其中，基坑工程和隧道工程作为地铁工程的关键环节，其建设环境极为复杂，不仅受到地形、地质、水文条件的制约，还受到城市既有建设的限制。因此，必须在保证安全的前提下开展建设作业，并应重点关注和解决相关安全问题，以确保工程建设的顺利进行和城市的可持续发展。,为改善城市间交通体系，优化城市群空间结构，促进城市群可持续发展，轨道交通工程的地位与作用越来越明显，其前景十分广阔。而轨道交通工程的建设与发展也逐步成为城市发展建设中标志性的一项，但随之而来的挑战是轨道交通工程如何在既有城市建设中保证其建设的安全[1-5]。城市发展离不开交通运输的发展，城市的安全稳定发展同样要以交通运输的安全稳定发展作为前提，轨道交通工程建设作为城市发展的需要，其安全性必须得到保障，基坑工程以及隧道工程建设作为地铁工程中的必要环节，其建设环境极为复杂，不仅受制于地形地质水文条件，还受限于城市既有建设等，应当在保证安全的前提中进行建设作业。,工程,Fiber Optic Sensing in Rail Transit
作为睫的首要任务，光纤传感技术的兴起，为实现这一目标提供了基本条件。凭借其优异的基础性能，光纤传感技术以光导纤维为载体，光信号为测量主体，展现出强大的抗干扰能力、良好的稳定性、较低的成本，以及易于实现集成化和智能化监测体系的优势。在某种程度上，这种技术能够弥补现有监测手段的不足。因此，岩土工程人员逐渐将光纤传感技术应用于轨道交通工程的监测作业中，相关研究可以在文献[21-25]中找到阐述。,睫的首要任务。光纤传感技术的出现，符合实现此任务的基本条件，其具备良好的基础性能，以光导纤维为载体，光信号为测量主体，具有抗干扰能力强、稳定性好、成本低、易于实现集成化、智能化监测体系等优点，一定程度上弥补了现阶段监测手段的不足，因此，被岩土工程人员逐步引用至轨道交通工程监测作业中[21-25]。,工程,Fiber Optic Sensing in Rail Transit
当前，国内外工程监测领域的研究方向和发展趋势主要集中在开发新技术和新方法，开展施工安全监测工作，以准确评估工程结构的安全性和健康状况，并提出经济合理的控制和治理措施。国内外众多学者致力于工程安全风险监测体系的研究，采用多种方法从不同的层次和角度进行了富有成效的研究，取得了重要进展，并积累了大量的研究成果和经验。然而，目前对基坑支护结构和盾构隧道的监测主要依赖于人工监测方式，部分辅以半自动和自动化监测，但这些方法仍存在着难以克服的技术问题，如人工监测手段容易受环境和人为因素的影响；而半自动和自动化监测手段则存在环境要求高、使用寿命短和监测系统易受损的缺点。为了确保轨道交通工程项目的安全和顺利进行，最大程度地保障国家和社会财产免受损失，亟需有效的安全防范手段和高效的安全预警监测技术。因此，对轨道交通工程项目施工阶段的各类安全风险进行监测和预警，并有针对性地提出应对措施至关重要。建立一套高效、可靠的智能监测系统迫在眉睫。,"目前国内外工程监测的研究方向与发展趋势为研发新技术与新方法，开展施工安全监测工作，准确判定工程结构的安全性和健康状况，提出经济合理的控制治理措施。国内外众多学者针对工程安全风险监测体系，运用多种方法从不同层次、不同角度开展了富有成效的研究[16-20],在多方面取得了重要进展，积累了大量的研究成果和经验。当前针对基坑支护结构以及盾构隧道的监测的方式主要为人工监测方式，部分辅助半自动、自动化监测，均存在着难以解决的监测技术问题，人工监测手段受环境、人为影响大等因素影响较大;半自动、自动化监测手段仍存在对环境要求高、使用寿命短、监测系统易受损的弊端。轨道交通工程项目安全顺利的进行能够最大程度地保障国家和社会财产免受损失，为此，轨道交通工程迫切需要有效的安全防范手段以及高效的安全预警监测技术，必须对轨道交通工程项目施工阶段的各类安全风险加以监测和预警，有针对性地提出应对措施一建立一套高效、可靠的智能监测成为迫在眉",工程,Fiber Optic Sensing in Rail Transit
