input,output,field,paper_name
确定电极的粘贴位置：应该将电极粘贴于待测肌肉最为隆起的肌腹位置，且电极的方向需与肌纤维的排列方向相一致。在本实验中，我们将主要对股四头肌和腘绳肌相关肌群进行测试。由于护膝覆盖范围的限制，我们选取了股四头肌中的股内侧肌以及腘绳肌中的股二头肌和半腱肌作为实验的测试肌肉。,③确定电极粘贴位置:电极所贴位置要位于所测肌肉肌腹的最大隆起处，并且要与肌纤维的排列方向一致。本次实验中主要测试股四头肌和胭绳肌相关肌群，由于护膝覆盖位置的限制，选取股四头肌中的股内侧肌和胭绳绳肌中的股二头肌和半腰肌作为测试肌肉。,工程,Knee Performance Study
在对非线性系统进行线性化处理时，将不可避免地引入误差，此误差的幅度与系统非线性度息息相关。此类误差通过迭代计算得以部分抵消，但本质上难以完全消除。与此同时，凸优化算法的一个显著优势在于不依赖于初始值，这一特性在某种程度上也会受到线性化处理的限制。具体而言，尽管凸优化算法本身无需可行初始值，能够找到凸优化问题的全局最优解（若问题可行），但基于一阶泰勒展开的线性化过程依赖于参考轨迹的选取。因此，类似于非线性规划算法，基于线性化技术的凸化算法的收敛速度受到初始参考轨迹的影响，并且其收敛结果也可能表现出局部性。值得欣慰的是，借助一系列有效的算法手段（例如信赖域约束和虚拟控制，详见第五章），凸化算法能够显著降低对初始轨迹的敏感性。,"对于非线性系统，对模型的线性化处理势必会带来相应的误差，而这一误差的大小也与模型的非线性度密切相关，这一误差只能通过迭代计算来补偿，但在数值上是无法消除的。此外，凸优化算法不依赖初值这一巨大优势也会在某种程度上丧失。其原因在于，虽然凸优化算法本身不需要可行初值，且可得到当前凸优化问题的全局最优解(如果问题可行);然而，基于一阶泰勒展开的线性化过程需要参考轨迹。因此，与非线性规划算法类似，基于线性化的凸化算法的收敛效率与初始参考轨迹相关，且收敛结果受初值轨迹影响具有局部性。幸运的是，通过一系列有效的算法手段(如信赖域约束、虚拟控制等，在第 5章中研究),凸化算法对初始轨迹的敏感性并不高。",工学,可重复使用运载火箭在线轨迹优化与制导方法研究
剥离式危岩是指存在于坡度大于40°的陡坡面上的岩体破坏产物，通常由于风化作用或不当的边坡开挖导致破壁形成。这些剥落下来的岩体一般体积较小，且分布较为集中。辨别其存在的依据是岩体属于第四类破裂状结构或第五类散体状结构，并呈现出外凸且鱼鳞状的外观特征。若遭受雨蚀、风化作用的侵蚀，或是后缘裂隙面出现张拉变形，使得结构面完全贯通，岩体会从外部逐块剥离其母体，或数块同时崩落，地震力亦是诱发该现象的重要因素之一。其破坏模式属于压剪型破坏。,"(4) 剥离式危岩:存在于 40°以上陡坡的破壁(一般是风化作用或不合理的边坡开挖),是破壁破碎的产物，体积较小，分布集中，判别依据是岩体属于第四类破裂状结构或第五类散体状结构，呈现外凸的，鱼鳞状的外观。如受到雨水侵蚀，风化作用, 后缘裂隙面张拉变形，结构面完全贯通后，由外而内逐块脱离母体，或几块同时崩落, 地震力也是影响因素之一，破坏类型属于压剪型破坏。",工学,危岩崩塌运动数值模拟及治理措施研究
"Based on a comprehensive analysis and organization of the interview data, four key themes emerged: (1) relatives predominantly serve as the decision-makers when it comes to the sharing of information for lung cancer patients; (2) attitudes toward the involvement of lung cancer patients in shared decision-making processes; (3) the imperative necessity of patient participation in shared decision-making; and (4) the pressures faced by lung cancer patients in engaging in shared decision-making. Three perspectives warrant further exploration: individual perspectives, the roles of medical institutions, societal influences, and legal and policy frameworks.","3 Based on the in-depth analysis and arrangement of the interview data, four topics were summarized: (1) relatives are the main decision-makers for lung cancer patients in sharing; (2) attitudes towards lung cancer patients' participation in Shared decision making; (3) the necessity of participation of sharing decision-making: (4) pressure on lung cancer patients to participate in Shared decision making.There were three perspective for futher discussed: individuals, medical institutions, society and laws policies.",工程,Lung Cancer Shared Decision Making Analysis
Cas9蛋白寻找到目标序列所需的时间是多少？通过利用荧光标记的Cas9分子进行的研究揭示，单个Cas9分子完成对一个细菌基因组（约400万碱基对）的搜索过程大约需要6小时[25]。因此，为了提高发现目标序列的效率，需增加Cas9分子的数量。,"Cas9 蛋白找到靶序列需要花多长时间呢?通过荧光标记 Cas9 分子的研究结果表明，一个 Cas9 分子搜索完成一个细菌基因组(400 万个碱基对)需要花费 6 小时的时间[25],这也就意味着为了更快地发现靶序列，需要更多的 Cas9 分子。",生物,利用CRISPR_Cas9技术对miRNA--125a进行基因编辑的实验研究
在统计平均晶粒尺寸时，需于每个样本沿径向方向绘制三条互不重叠的直线，确保这些直线在观测视野中均匀分布。这些直线即代表经过晶粒区域的路径。随后，测量这些线段的总长度L（实际长度），并精确统计被这些线段所截断的晶粒数量N。通过上述测量结果，可计算出晶粒的平均直径。,平均晶粒尺寸统计:在每个试样中沿径向划三条直线，且三条直线在视场中均匀分布。上述黑线即为所穿过晶粒的直线。测量此线段总长度 L(实际长度)再仔细数出被此线段所交截的晶粒总数目 N。则可得出晶粒的平均直径:,工学,加压条件下镁处理对M7钢组织与性能研究
当局部电子云的振荡频率与入射电磁波的频率一致时，即发生共振，粒子会表现出对特定波长电磁波的吸收增强及局部电磁场的显著增强，这一现象主要归因于颗粒尺度介于纳米水平范围内。在纳米尺度下，金属粒子中的自由电子主要分布于其表面。PtNPs 的表面几何形状和尺寸的变动将导致表面电磁场密度的波动，通过化学手段对接收表面进行修饰，可以调整其表面电子密度，从而检测到表面等离子体共振吸收光谱的位移以评估灵敏度。利用这些特性，能够制备出高精度的光电器件，如光敏开关、光学滤波器等。,里的电子云振荡频率一致时就会产生共振，因而表现出的对特定波长的吸收及局部电磁场的增强性。这一性质主要源于颗粒纳米级的尺寸，当金属粒子处于纳米级别时，自由电子主要集中在纳米颗粒表面，而 PtNPs 表面的形状和尺寸变化会引起表面电磁场密度的变化，因此可以通过对 PtNPs 表面进行化学修饰来改变其表面电子密度，通过检测其表面等离子体共振吸收光谱的位移进行灵敏度的检测，利用这些特性可以制备光电器件，如光敏开关、光学过滤器等。,工学,γ辐照制备石墨烯_铂纳米颗粒及其氧还原催化性能
该数值较之初始状态增长了30倍，特别是在2013年首次突破了4万亿元的门槛，累计总量达到19.4万亿元。此外，根据国家审计署在2010年对40个地市和56个区县土地出让金的调查报告，约20.1%，即674.8亿元的土地出让金未能按照相关规定被纳入政府性基金预算。地方政府通过招商引资、城市旧城区改造或国有企业改制等途径，变相减免了共计19.61亿元的土地出让金。财政部发布的数据中对非税收入来源的描述不够明确，无法清晰地反映其具体构成。更进一步地说，财政部所呈现的非税收入并不完全符合《财政部关于加强非税收入管理的通知》所定义的所有非税收入类别，而仅是其中的一部分。这种非税收入的模糊化处理增加了预算法实施的有效性难度。,"长了 30 倍，尤其是 2013 年首次突破了 4 万亿元，总额累计高达 19. 4 万亿元。此外, 根据国家审计署 2010 年对 40个地市以及 56 个区县土地出让金的调查数据显示，占征收总额 20.1%约 674.8 亿元的土地出让金未能遵照相关规定纳入政府性基金预算。地方政府以招商引资、城市旧城区改造或者国有企业改制等为由将 19.61 亿元变相减免。财政部所公布的数据中对非税收入来源的说明相对模糊，不能有效反映非税收入的具体构成。此外，财政部所公布的财政收入的非税收入并非是全部《财政部关于加强非税收入管理的通知》所规定的非税收入，而仅是其中的一部分。模糊化处理非税收入使得预算法控制的难度增加。",法学,非税收入预算法律问题研究
抗体作为体液免疫系统的关键组成部分，在生命科学研究、疾病检测及医药领域均具有重要作用。其中，噬菌体展示技术是获取人源治疗性抗体的重要途径之一。肿瘤坏死因子-α（TNF-α）作为一种前炎症因子，与风湿性关节炎等多种疾病的发生发展密切相关。本研究拟利用噬菌体抗体展示技术构建人源噬菌体抗体库，并从中筛选出对TNF-α细胞毒活性具有抑制作用的人源单链抗体（scFv）。,抗体是体液免疫系统的重要组成部分，也在生命科学研究、疫病检测和医药领域发挥着重要作用。噬菌体展示技术是人源治疗性抗体的重要技术来源之一。TNF-α 是一种前炎症因子，与风湿性关节炎等多种疾病的发生密切相关。 本研究采用噬菌体抗体展示技术构建一个人源噬菌体抗体库，并从中筛选出具有 TNF-α 细胞毒活性抑制作用的人源单链抗体。,生物,人源化单链抗体噬菌体库的构建及抗TNF-α抗体的筛选
验证过程和操作步骤分别需要至少10周和4周的时间。值得注意的是，Cas9-sgRNA平台能够在单个细胞内靶向两个或更多的靶点，通过单一Cas9蛋白与多种RNA分子的组合实现这一目标。该技术可显著缩短多基因突变转基因动物的产生时间[4440]。此外，靶向两个相邻位点能够提高基因失活或诱导程序化缺失的效率。其次，Cas9的断裂突变体有能力在靶标位点的正链或负链引入断裂，从而为通过同源重组（HR）修复DNA提供了可能性。一旦发生单链断裂，目标位点即可通过HR机制进行修复，实现无痕基因校正。相比之下，非同源末端连接（NHEJ）则可能导致意想不到的插入和缺失[4547]。通过Cas9介导的靶细胞群体中目标序列的编辑效率，能够与锌指核酸酶（ZFNs）和转录激活样效应核定位因子（TALENs）相媲美[481]。,"和验证，这分别需要花费至少 10 周和 4 周时间。而且,Cas9 - sgRNA 平台能够在一个细胞中靶向两个或者更多靶点，通过使用一个 Cas9 蛋白和多个 RNAs。 多路技术为产生多基因突变的转基因动物缩短了相当多的时间4440。此外, 靶向两个相近的位点可以增加基因失活或引入程序化删除的效率。第二,Cas9 的缺刻突变体能够在靶点的上链或下链引入缺刻，为DNA 通过 HR 修复提供的可能性。当单链断裂后，就会通过 HR 在缺刻位点进行修复，形成无足迹的基因校正, 而 NHEJ 就会频繁产生意想不到的插入和缺失[4547]。通过 Cas9t 介导的在靶细胞群中使得目的序列发生改变的效率是可以与 ZFNs 和 TALENs 相匹敌的481。",生物,CRISPR_Cas系统介导在哺乳动物细胞中mir-505基因的敲除
